City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Heihe,CN,2022-05-22 20:05:50,50.2441,127.4902,12.32,65,72,3.88
87,Kaitangata,NZ,2022-05-22 20:05:50,-46.2817,169.8464,8.15,83,92,6.05
88,Narsaq,GL,2022-05-22 20:05:50,60.9167,-46.05,4.12,99,100,2.97
89,Carutapera,BR,2022-05-22 20:05:51,-1.195,-46.02,26.22,89,53,2.21
90,Ponta Delgada,PT,2022-05-22 20:06:51,37.7333,-25.6667,21.95,100,75,4.63
91,Coquimbo,CL,2022-05-22 20:06:51,-29.9533,-71.3436,16.85,72,0,4.12
92,Albi,FR,2022-05-22 20:06:52,43.9298,2.148,26.28,55,72,2.1
93,Faranah,GN,2022-05-22 20:06:52,10.0404,-10.7434,23.68,74,67,1.92
94,Yellowknife,CA,2022-05-22 20:06:52,62.456,-114.3525,4.53,50,100,3.45
95,Laguna,US,2022-05-22 20:06:40,38.421,-121.4238,31.27,22,0,3.6
96,Grand Gaube,MU,2022-05-22 20:04:59,-20.0064,57.6608,22.43,77,5,1.34
97,Port Elizabeth,ZA,2022-05-22 20:06:34,-33.918,25.5701,12.83,79,95,1.27
98,Watertown,US,2022-05-22 20:06:53,42.3709,-71.1828,35.81,45,0,6.69
99,Provideniya,RU,2022-05-22 20:06:53,64.3833,-173.3,9.92,42,100,4.76
100,Tecoanapa,MX,2022-05-22 20:06:53,16.5167,-98.75,29.75,58,0,4.82
101,Ilulissat,GL,2022-05-22 20:05:20,69.2167,-51.1,2.01,87,100,3.09
102,Hounde,BF,2022-05-22 20:06:54,11.5,-3.5167,30.78,44,100,4.89
103,Oktyabrskiy,RU,2022-05-22 20:06:54,54.4815,53.471,4.06,84,91,0.35
104,Severo-Kurilsk,RU,2022-05-22 20:06:54,50.6789,156.125,4.83,97,100,7.25
105,Katsuura,JP,2022-05-22 20:06:54,35.1333,140.3,18.35,90,62,5.09
106,Vacha,RU,2022-05-22 20:06:55,55.8008,42.7706,-1.66,83,22,2.49
107,Saint-Georges,GD,2022-05-22 20:06:55,12.0564,-61.7485,27.28,70,87,5.98
108,Sitka,US,2022-05-22 20:03:37,57.0531,-135.33,10.94,76,100,3.6
109,Mar Del Plata,AR,2022-05-22 20:05:30,-38.0023,-57.5575,16.08,61,100,4.48
110,Hambantota,LK,2022-05-22 20:06:55,6.1241,81.1185,26.34,85,80,7.6
111,Mutis,CO,2022-05-22 20:06:56,6.2262,-77.4044,28.22,79,38,2.75
112,Bambous Virieux,MU,2022-05-22 20:04:51,-20.3428,57.7575,22.34,67,29,6.65
113,Hermanus,ZA,2022-05-22 20:06:56,-34.4187,19.2345,15.68,84,83,3.3
114,Isangel,VU,2022-05-22 20:06:02,-19.55,169.2667,24.55,84,69,2.67
115,Cidreira,BR,2022-05-22 20:06:56,-30.1811,-50.2056,15.97,71,97,2.29
116,Kamenka,RU,2022-05-22 20:06:57,51.3223,42.7678,6.77,93,84,2.59
117,Khatanga,RU,2022-05-22 20:05:16,71.9667,102.5,-0.08,93,100,2.75
118,Tuktoyaktuk,CA,2022-05-22 20:06:57,69.4541,-133.0374,-1.1,66,46,4.33
119,Codrington,AU,2022-05-22 20:06:57,-38.2667,141.9667,6.37,94,2,3.38
120,Touros,BR,2022-05-22 20:06:55,-5.1989,-35.4608,25.21,88,16,5.81
121,Kodiak,US,2022-05-22 20:02:32,57.79,-152.4072,10.73,71,75,7.2
122,Joao Camara,BR,2022-05-22 20:06:58,-5.5375,-35.8197,24.07,89,28,4.05
123,Saskylakh,RU,2022-05-22 20:06:34,71.9167,114.0833,0.82,99,100,3.59
124,Beringovskiy,RU,2022-05-22 20:06:58,63.05,179.3167,4.75,75,100,3.85
125,Manokwari,ID,2022-05-22 20:06:58,-0.8667,134.0833,25.84,73,86,1.98
126,Port Macquarie,AU,2022-05-22 20:05:02,-31.4333,152.9167,13.27,84,100,2.07
127,Kruisfontein,ZA,2022-05-22 20:06:14,-34.0033,24.7314,11.6,75,100,1.47
128,Omboue,GA,2022-05-22 20:06:59,-1.5746,9.2618,23.94,84,34,3.72
129,Norman Wells,CA,2022-05-22 20:06:59,65.282,-126.8329,8.2,51,100,0.81
