City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Rio Grande,BR,-32.035,-52.0986,12.06,75,0,3.09,clear sky
156,Ames,US,42.0347,-93.6199,12.28,57,0,4.63,clear sky
157,Port-Cartier,CA,50.0334,-66.8654,8.19,53,25,5.8,scattered clouds
158,Aras,ES,42.5617,-2.356,23.23,41,40,4.63,scattered clouds
159,Gizo,SB,-8.103,156.8419,28.03,75,17,2.1,few clouds
160,Nouakchott,MR,18.0858,-15.9785,19.96,76,22,7.64,few clouds
161,Puri,IN,19.8,85.85,31.29,85,76,5.1,broken clouds
162,Vila Velha,BR,-20.3297,-40.2925,23.97,69,75,1.03,broken clouds
163,Amahai,ID,-3.3333,128.9167,26.4,84,93,0.83,light rain
164,Ponta Do Sol,PT,32.6667,-17.1,25.4,66,0,1.33,clear sky
165,Sitka,US,57.0531,-135.33,8.94,81,100,3.6,light rain
166,Kenai,US,60.5544,-151.2583,5.08,89,0,1.54,clear sky
167,Kapaa,US,22.0752,-159.319,22.99,93,75,5.66,broken clouds
168,Georgetown,MY,5.4112,100.3354,30.53,79,20,1.03,few clouds
169,Tual,ID,-5.6667,132.75,28.2,78,23,7.06,few clouds
170,New Norfolk,AU,-42.7826,147.0587,7.62,86,4,0.88,clear sky
171,Madison,US,34.7334,-86.5667,20.74,97,100,5.36,light rain
172,Oil City,US,41.4339,-79.7064,13.22,81,40,2.57,scattered clouds
173,Mersing,MY,2.4312,103.8405,26.95,89,40,2.06,scattered clouds
174,Grand Gaube,MU,-20.0064,57.6608,25.22,78,60,0.89,light rain
175,Guerrero Negro,MX,27.9769,-114.0611,14.15,91,1,3.85,clear sky
176,Yar-Sale,RU,66.8333,70.8333,4.19,95,100,5.63,light rain
177,Hofn,IS,64.2539,-15.2082,7.01,93,100,3.6,light intensity drizzle
178,Sovetskiy,RU,61.3614,63.5842,9.41,50,98,4.11,overcast clouds
179,Ambunti,PG,-4.2365,142.8448,23.55,98,95,1.05,overcast clouds
180,Nouadhibou,MR,20.931,-17.0347,21.99,73,2,9.26,clear sky
181,Bengkulu,ID,-3.8004,102.2655,26.96,79,100,1.55,overcast clouds
182,Rawson,AR,-43.3002,-65.1023,7.78,50,81,7.03,broken clouds
183,Pacific Grove,US,36.6177,-121.9166,9.81,89,1,2.24,clear sky
184,East London,ZA,-33.0153,27.9116,21.52,68,0,1.54,clear sky
185,Ardahan,TR,41.1087,42.7022,5.52,97,100,1.79,light rain
186,Burnie,AU,-41.0667,145.9167,8.3,83,6,2.36,clear sky
187,Novopavlovka,RU,51.2172,109.2091,8.27,52,0,2.55,clear sky
188,Severo-Kurilsk,RU,50.6789,156.125,4.85,98,100,6.76,overcast clouds
189,Salalah,OM,17.0151,54.0924,31.05,74,75,6.17,broken clouds
190,Manacor,ES,39.5696,3.2096,31.49,58,6,3.98,clear sky
191,Parnarama,BR,-5.6817,-43.0933,29.72,51,3,3.11,clear sky
192,Meybod,IR,32.2501,54.0166,36.01,6,0,4.93,clear sky
193,Ancud,CL,-41.8697,-73.8203,9.22,77,100,7.96,light rain
194,Dawlatabad,AF,36.4141,64.9053,26.57,16,0,5.54,clear sky
195,Olafsvik,IS,64.8945,-23.7142,6.56,75,74,2.72,broken clouds
196,Bambous Virieux,MU,-20.3428,57.7575,25.14,73,75,4.63,broken clouds
197,Mutis,CO,6.2262,-77.4044,25.99,89,100,2.35,light rain
198,Puerto Escondido,MX,15.85,-97.0667,24.46,83,40,3.09,scattered clouds
199,Lagoa,PT,39.05,-27.9833,16.43,87,100,6.49,overcast clouds
200,Shingu,JP,33.7333,135.9833,17.32,69,100,2.48,overcast clouds
201,Port Keats,AU,-14.25,129.55,25.44,65,85,1.96,overcast clouds
202,Port Elizabeth,ZA,-33.918,25.5701,22.16,64,0,2.06,clear sky
203,Namatanai,PG,-3.6667,152.4333,26.6,81,20,3.72,few clouds
204,Chapaevsk,RU,52.9813,49.7112,10.66,68,100,2.82,overcast clouds
205,Kamina,CD,-8.7386,24.9906,28.37,38,36,2.65,scattered clouds
206,Stettler,CA,52.3168,-112.7186,8.62,61,83,4.12,broken clouds
207,Sehithwa,BW,-20.4667,22.7167,23.66,21,0,1.61,clear sky
208,Moerai,PF,-22.4333,-151.3333,25.27,67,1,0.78,clear sky
209,Tazovskiy,RU,67.4667,78.7,5.36,88,100,7.19,overcast clouds
210,Nador,MA,35.174,-2.9287,32.04,42,0,7.72,clear sky
211,Yago,MX,21.8333,-105.0667,24.41,62,0,0.36,clear sky
212,Soma,TR,39.1855,27.6094,28.53,37,85,1.38,overcast clouds
213,Berlevag,NO,70.8578,29.0864,7.97,66,40,5.66,scattered clouds
214,Torbay,CA,47.6666,-52.7314,19.43,27,20,10.29,few clouds
215,Baykit,RU,61.67,96.37,16.47,52,5,1.15,clear sky
216,Piopio,NZ,-38.4667,175.0167,6.13,98,8,0.44,clear sky
217,Qeshm,IR,26.9581,56.2719,36.94,49,0,4.38,clear sky
218,Hasaki,JP,35.7333,140.8333,14.22,75,56,1.82,broken clouds
219,Merauke,ID,-8.4667,140.3333,26.07,83,10,5.88,clear sky
220,Luwuk,ID,-0.9516,122.7875,25.67,90,51,0.62,broken clouds
221,Port Hawkesbury,CA,45.6169,-61.3485,14.77,95,100,5.14,fog
222,Aklavik,CA,68.2191,-135.0107,-2.39,79,85,3.37,overcast clouds
223,Khatanga,RU,71.9667,102.5,-1.44,85,61,5.18,broken clouds
224,Airai,TL,-8.9266,125.4092,15.23,84,91,1.2,overcast clouds
225,Qaanaaq,GL,77.484,-69.3632,1.52,78,98,1.71,overcast clouds
226,Usinsk,RU,65.9939,57.5281,1.96,100,100,1.91,overcast clouds
227,Mount Isa,AU,-20.7333,139.5,15.87,63,0,2.57,clear sky
228,Thompson,CA,55.7435,-97.8558,10.09,46,75,4.12,broken clouds
229,Hopewell,US,37.3043,-77.2872,22.33,71,100,3.99,overcast clouds
230,Aswan,EG,24.0934,32.907,36.61,11,0,5.14,clear sky
231,Tenenkou,ML,14.4572,-4.9169,36.66,27,73,5.44,broken clouds
232,Isoka,ZM,-10.1606,32.6335,24.0,53,94,2.6,overcast clouds
233,Souillac,MU,-20.5167,57.5167,25.21,73,75,4.63,broken clouds
234,Necochea,AR,-38.5473,-58.7368,12.72,65,100,2.82,overcast clouds
235,Codrington,AU,-38.2667,141.9667,9.79,82,3,3.22,clear sky
236,Sassandra,CI,4.95,-6.0833,27.27,78,61,3.28,light rain
237,Faya,SA,18.3851,42.4509,28.29,26,1,6.42,clear sky
238,Siedlce,PL,52.1677,22.2901,16.68,55,98,2.6,overcast clouds
239,Ibimirim,BR,-8.5406,-37.6903,27.07,55,44,7.55,scattered clouds
240,Somerset East,ZA,-32.7217,25.588,21.76,36,36,2.25,scattered clouds
241,Simbahan,PH,6.3032,120.5836,27.98,75,93,1.06,overcast clouds
242,Paamiut,GL,61.994,-49.6678,0.45,88,100,5.28,light snow
243,Zastron,ZA,-30.3023,27.084,15.27,45,27,3.55,scattered clouds
244,Fort Nelson,CA,58.8053,-122.7002,4.77,81,75,2.06,broken clouds
245,Paranaiba,BR,-19.6772,-51.1908,22.0,39,80,2.35,broken clouds
246,Rudbar,AF,30.15,62.6,32.49,6,0,5.75,clear sky
247,Numan,NG,9.4667,12.0333,35.14,47,95,6.35,overcast clouds
248,Blackwater,AU,-23.5833,148.8833,16.66,84,75,3.37,broken clouds
249,Portland,US,45.5234,-122.6762,13.45,76,75,1.54,broken clouds
250,Kieta,PG,-6.2167,155.6333,26.0,84,49,1.29,scattered clouds
251,Aguada De Pasajeros,CU,22.385,-80.8508,28.82,60,100,4.53,overcast clouds
252,Monrovia,LR,6.3005,-10.7969,27.31,78,98,4.52,light rain
253,Charters Towers,AU,-20.1,146.2667,19.67,73,100,5.6,overcast clouds
254,Klyuchi,RU,52.2667,79.1667,18.22,32,0,1.87,clear sky
255,Tuatapere,NZ,-46.1333,167.6833,10.24,83,85,4.6,overcast clouds
256,Bayir,TR,37.2687,28.2167,24.29,30,3,5.84,clear sky
257,Pochutla,MX,15.7432,-96.4661,23.9,53,1,1.48,clear sky
258,Vostok,RU,46.4856,135.8833,9.09,87,90,2.62,overcast clouds
259,Hithadhoo,MV,-0.6,73.0833,29.05,73,21,4.58,few clouds
260,Vanavara,RU,60.34,102.2797,13.73,62,26,2.06,scattered clouds
261,La Ronge,CA,55.1001,-105.2842,8.14,81,100,4.12,overcast clouds
262,Fenoarivo,MG,-18.933,47.4354,22.04,56,40,5.14,scattered clouds
263,Faanui,PF,-16.4833,-151.75,27.03,73,15,6.15,light rain
264,Coihaique,CL,-45.5752,-72.0662,1.97,87,100,4.63,overcast clouds
265,Christchurch,NZ,-43.5333,172.6333,5.23,91,0,1.54,clear sky
266,Haines Junction,CA,60.7522,-137.5108,0.97,80,100,0.51,overcast clouds
267,Bonthe,SL,7.5264,-12.505,29.39,70,98,4.85,light rain
268,Kankakee,US,41.15,-87.8667,13.84,68,8,4.84,clear sky
269,Camacha,PT,33.0833,-16.3333,17.68,94,75,6.69,light intensity shower rain
270,Samarai,PG,-10.6167,150.6667,27.78,77,32,3.8,scattered clouds
271,Yarada,IN,17.65,83.2667,34.18,62,20,2.57,haze
272,Angoche,MZ,-16.2325,39.9086,26.91,71,3,3.85,clear sky
273,Mareeba,AU,-17.0,145.4333,21.4,92,31,0.94,scattered clouds
274,Beloha,MG,-25.1667,45.05,25.9,35,2,2.88,clear sky
275,Narsaq,GL,60.9167,-46.05,5.12,84,100,1.21,overcast clouds
276,Luga,RU,58.7372,29.8453,15.01,50,59,4.17,broken clouds
277,Moron,AR,-34.6534,-58.6198,16.1,77,77,1.42,broken clouds
278,Garden City,US,42.3256,-83.331,13.41,60,100,5.66,overcast clouds
279,Kruisfontein,ZA,-34.0033,24.7314,19.94,61,34,4.53,scattered clouds
280,Redmond,US,47.674,-122.1215,12.83,75,91,0.89,overcast clouds
281,Hoquiam,US,46.9809,-123.8893,11.67,86,100,2.06,overcast clouds
282,Touros,BR,-5.1989,-35.4608,28.58,68,28,6.62,light rain
283,Half Moon Bay,US,37.4636,-122.4286,13.88,80,0,3.6,mist
284,Provideniya,RU,64.3833,-173.3,6.43,58,100,1.31,overcast clouds
285,Gorontalo,ID,0.5412,123.0595,24.27,96,100,1.32,overcast clouds
286,Khandbari,NP,27.3747,87.2039,21.54,77,35,0.74,scattered clouds
287,Xinqing,CN,48.2333,129.5,12.92,97,100,0.78,moderate rain
288,Saint-Francois,FR,46.4154,3.9054,20.93,68,75,3.6,light rain
289,Broken Hill,AU,-31.95,141.4333,13.73,70,0,3.95,clear sky
290,Bulawayo,ZW,-20.15,28.5833,21.11,22,0,3.23,clear sky
291,San Patricio,US,28.017,-97.5169,25.92,71,59,3.98,broken clouds
292,Alofi,NU,-19.0595,-169.9187,20.94,94,40,0.51,scattered clouds
293,Vardo,NO,70.3705,31.1107,3.99,81,75,6.17,broken clouds
294,Shimoda,JP,34.6667,138.95,17.96,84,100,3.1,overcast clouds
295,Maningrida,AU,-12.0667,134.2667,25.07,76,100,4.97,overcast clouds
296,Luwingu,ZM,-10.2621,29.9271,25.18,41,94,1.73,overcast clouds
297,Chokurdakh,RU,70.6333,147.9167,0.08,95,100,0.83,overcast clouds
298,Ha Giang,VN,22.8333,104.9833,22.35,99,100,0.9,overcast clouds
299,Brownsville,US,25.9018,-97.4975,27.17,91,0,3.09,clear sky
300,Tuxpan,MX,19.55,-103.4,15.87,63,38,1.17,scattered clouds
301,Sakakah,SA,29.9697,40.2064,30.76,14,0,8.71,clear sky
302,Duluth,US,46.7833,-92.1066,10.75,60,100,4.63,overcast clouds
303,Sambava,MG,-14.2667,50.1667,25.22,73,10,6.29,clear sky
304,Thinadhoo,MV,0.5333,72.9333,29.02,75,99,5.55,overcast clouds
305,Arraial Do Cabo,BR,-22.9661,-42.0278,24.98,57,0,5.14,clear sky
306,Pak Phanang,TH,8.3511,100.202,30.01,78,97,2.7,overcast clouds
307,Bilibino,RU,68.0546,166.4372,5.87,69,75,1.11,broken clouds
308,Port Lincoln,AU,-34.7333,135.8667,17.19,67,64,5.19,broken clouds
309,Mercedes,AR,-34.6515,-59.4307,14.88,71,100,2.27,overcast clouds
310,La Rioja,ES,42.25,-2.5,20.88,40,88,2.41,overcast clouds
311,Denia,ES,38.8408,0.1057,33.13,54,12,5.04,few clouds
312,Walvis Bay,NA,-22.9575,14.5053,20.05,34,86,4.09,overcast clouds
313,Santander,ES,43.4647,-3.8044,15.89,90,75,6.69,light intensity drizzle
314,Gezing,AT,47.9178,13.1299,25.62,79,20,2.06,few clouds
315,Chadiza,ZM,-14.0678,32.4392,24.62,51,94,1.35,overcast clouds
316,Husavik,IS,66.0449,-17.3389,4.36,86,96,2.07,overcast clouds
317,Pontianak,ID,-0.0333,109.3333,28.99,84,40,0.0,scattered clouds
318,Ghorawal,IN,24.7667,82.7833,34.7,18,0,4.03,clear sky
319,Vao,NC,-22.6667,167.4833,22.82,75,100,9.85,overcast clouds
320,Pathein,MM,16.7833,94.7333,24.28,93,100,1.18,moderate rain
321,Tautira,PF,-17.7333,-149.15,26.34,75,31,6.7,light rain
322,Whyalla,AU,-33.0333,137.5833,17.11,60,2,4.53,clear sky
